arm,date,rank_ic
A,2023-01-03,0.22727272727272727
A,2023-02-02,-0.3727272727272728
A,2023-03-06,-0.26363636363636367
A,2023-04-04,-0.09090909090909091
A,2023-05-04,0.8181818181818182
A,2023-06-05,0.3545454545454546
A,2023-07-06,-0.18181818181818182
A,2023-08-04,-0.13636363636363638
A,2023-09-05,0.17272727272727276
A,2023-10-04,0.4909090909090909
A,2023-11-02,0.20000000000000004
A,2023-12-04,-0.06363636363636364
A,2024-01-04,0.4727272727272727
A,2024-02-05,-0.10000000000000002
A,2024-03-06,-0.23636363636363636
A,2024-04-05,-0.30000000000000004
A,2024-05-06,-0.26363636363636367
A,2024-06-05,0.03636363636363637
A,2024-07-08,-0.5
A,2024-08-06,-0.03636363636363637
A,2024-09-05,0.5
A,2024-10-04,0.690909090909091
A,2024-11-04,0.6181818181818182
A,2024-12-04,0.5909090909090909
A,2025-01-06,0.6727272727272727
A,2025-02-06,-0.19090909090909092
A,2025-03-10,-0.14545454545454548
A,2025-04-08,0.4909090909090909
A,2025-05-08,-0.48181818181818187
A,2025-06-09,-0.6000000000000001
A,2025-07-10,-0.09090909090909091
A,2025-08-08,0.790909090909091
A,2025-09-09,0.21818181818181823
A,2025-10-08,0.15454545454545454
A,2025-11-06,-0.06363636363636364
A,2025-12-08,-0.09090909090909091
A,2026-01-08,-0.20000000000000004
A,2026-02-09,-0.20000000000000004
A,2026-03-11,-0.06363636363636364
A,2026-04-10,-0.7454545454545456
A,2026-05-11,-0.3181818181818182
A,2026-06-10,0.33636363636363636
B,2023-01-03,0.11818181818181818
B,2023-02-02,-0.24545454545454545
B,2023-03-06,-0.11818181818181818
B,2023-04-04,-0.10000000000000002
B,2023-05-04,0.7727272727272727
B,2023-06-05,0.5454545454545455
B,2023-07-06,-0.30000000000000004
B,2023-08-04,-0.018181818181818184
B,2023-09-05,0.10909090909090911
B,2023-10-04,-0.11818181818181818
B,2023-11-02,-0.08181818181818183
B,2023-12-04,0.05454545454545456
B,2024-01-04,0.17272727272727276
B,2024-02-05,0.009090909090909092
B,2024-03-06,0.27272727272727276
B,2024-04-05,-0.5181818181818182
B,2024-05-06,-0.18181818181818182
B,2024-06-05,0.23636363636363636
B,2024-07-08,-0.6818181818181819
B,2024-08-06,-0.03636363636363637
B,2024-09-05,0.2545454545454546
B,2024-10-04,0.6272727272727273
B,2024-11-04,0.7727272727272727
B,2024-12-04,0.4727272727272727
B,2025-01-06,-0.24545454545454545
B,2025-02-06,-0.7545454545454545
B,2025-03-10,0.22727272727272727
B,2025-04-08,-0.27272727272727276
B,2025-05-08,0.5090909090909091
B,2025-06-09,0.13636363636363638
B,2025-07-10,0.4090909090909091
B,2025-08-08,-0.08181818181818183
B,2025-09-09,0.018181818181818184
B,2025-10-08,-0.03636363636363637
B,2025-11-06,-0.11818181818181818
B,2025-12-08,-0.10000000000000002
B,2026-01-08,-0.7000000000000001
B,2026-02-09,0.07272727272727274
B,2026-03-11,-0.05454545454545456
B,2026-04-10,-0.3545454545454546
B,2026-05-11,-0.5090909090909091
B,2026-06-10,0.09090909090909091
C,2023-01-03,-0.9181818181818183
C,2023-02-02,0.3545454545454546
C,2023-03-06,-0.5727272727272729
C,2023-04-04,0.13636363636363638
C,2023-05-04,0.38181818181818183
C,2023-06-05,0.16363636363636366
C,2023-07-06,0.7181818181818183
C,2023-08-04,0.5181818181818182
C,2023-09-05,0.33636363636363636
C,2023-10-04,-0.07272727272727274
C,2023-11-02,0.009090909090909092
C,2023-12-04,-0.11818181818181818
C,2024-01-04,0.5
C,2024-02-05,-0.24545454545454545
C,2024-03-06,0.17272727272727276
C,2024-04-05,-0.17272727272727276
C,2024-05-06,-0.09090909090909091
C,2024-06-05,0.6090909090909091
C,2024-07-08,-0.5
C,2024-08-06,0.10909090909090911
C,2024-09-05,0.5454545454545455
C,2024-10-04,0.5363636363636364
C,2024-11-04,0.690909090909091
C,2024-12-04,0.6454545454545455
C,2025-01-06,0.7272727272727273
C,2025-02-06,-0.6363636363636364
C,2025-03-10,-0.41818181818181827
C,2025-04-08,0.6636363636363638
C,2025-05-08,0.790909090909091
C,2025-06-09,0.20000000000000004
C,2025-07-10,0.1272727272727273
C,2025-08-08,0.27272727272727276
C,2025-09-09,0.21818181818181823
C,2025-10-08,0.11818181818181818
C,2025-11-06,-0.05454545454545456
C,2025-12-08,-0.46363636363636374
C,2026-01-08,-0.13636363636363638
C,2026-02-09,-0.5363636363636364
C,2026-03-11,-0.018181818181818184
C,2026-04-10,-0.4909090909090909
C,2026-05-11,-0.20000000000000004
C,2026-06-10,0.5818181818181819
